"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"300","Surface Fire","10620_10_19_21_29_31",0.0043202,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1258,9,0,0.0388818
"301","Surface Fire","11170_29",0.0658824,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,70,0,4.611768
"302","Surface Fire","11320_31_38",0.0061982,"Central Mixedgrass Prairie",1681,109152,2.2,676.5459264
"303","Surface Fire","11480_31_38",0.083325,"Western Great Plains Sand Prairie",1683,490701,10.1,40887.660825
"304","Surface Fire","11500_31_39_40",0.0040696,"Western Great Plains Tallgrass Prairie",1685,3058,0.1,12.4448368
"305","Surface Fire","11620_29_30",0.0039046,"Western Great Plains Floodplain Systems",1276,60508,1.2,236.2595368
"306","Surface Fire","11620_31_39_40",0.0050648,"Western Great Plains Floodplain Systems",1686,98019,2,496.4466312
"307","Surface Fire","11660_29",0.04023,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",1277,25,0,1.00575
"308","Surface Fire","11790_31",0.0586332,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna",1687,239089,4.9,14018.5531548
"309","Surface Fire","11791_29_30",0.050565,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland",1278,1200713,24.6,60714.052845
"310","Surface Fire","11792_29_30",0.0641948,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna",1279,459611,9.4,29504.6362228
"311","Surface Fire","13850_29_30",0.0126238,"Western Great Plains Wooded Draw and Ravine",1280,2519,0.1,31.7993522
"312","Surface Fire","13850_31_39_40_42",0.004321,"Western Great Plains Wooded Draw and Ravine",1688,18185,0.4,78.577385
"313","Wind or Weather or Stress","10130_31_38_39_40",0.006737,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,12525,0.3,84.380925
"314","Wind or Weather or Stress","10510_29",0.0010066,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,14,0,0.0140924
"315","Wind or Weather or Stress","10550_29",0.000942,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,3,0,0.002826
"316","Wind or Weather or Stress","10850_29_30",0.0495388,"Northwestern Great Plains Shrubland",1261,5868,0.1,290.6936784
"317","Wind or Weather or Stress","10860_29",0.0032264,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,62585,1.3,201.924244
"318","Wind or Weather or Stress","10940_31_38",0.1246194,"Western Great Plains Sandhill Steppe",1679,792,0,98.6985648
"319","Wind or Weather or Stress","11170_29",0.0001136,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,70,0,0.007952
"320","Wind or Weather or Stress","11250_20_29_30_31_33",0.0100898,"Inter-Mountain Basins Big Sagebrush Steppe",1265,64404,1.3,649.8234792
"321","Wind or Weather or Stress","11250_20_29_30_31_33",0.0100898,"Inter-Mountain Basins Big Sagebrush Steppe",1677,682,0,6.8812436
"322","Wind or Weather or Stress","11260_20_29_33",0.0076892,"Inter-Mountain Basins Montane Sagebrush Steppe",1266,114,0,0.8765688
"323","Wind or Weather or Stress","11320_31_38",0.013742,"Central Mixedgrass Prairie",1681,109152,2.2,1499.966784
"324","Wind or Weather or Stress","11390_29",0.067232,"Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland",1267,71563,1.5,4811.323616
"325","Wind or Weather or Stress","11410_29_30",0.0322496,"Northwestern Great Plains Mixedgrass Prairie",1269,1398599,28.6,45104.2583104
"326","Wind or Weather or Stress","11410_31",0.0120792,"Northwestern Great Plains Mixedgrass Prairie",1682,270806,5.5,3271.1198352
"327","Wind or Weather or Stress","11480_31_38",0.0097246,"Western Great Plains Sand Prairie",1683,490701,10.1,4771.8709446
"328","Wind or Weather or Stress","11490_29",0.0248546,"Western Great Plains Shortgrass Prairie",1272,2346,0,58.3088916
"329","Wind or Weather or Stress","11490_31_33",0.0243966,"Western Great Plains Shortgrass Prairie",1684,91240,1.9,2225.945784
"330","Wind or Weather or Stress","11500_31_39_40",0.0247198,"Western Great Plains Tallgrass Prairie",1685,3058,0.1,75.5931484
"331","Wind or Weather or Stress","11530_20_22_29_30",0.0128572,"Inter-Mountain Basins Greasewood Flat",1273,1686,0,21.6772392
"332","Wind or Weather or Stress","11590_29",0.1862972,"Rocky Mountain Montane Riparian Systems",1274,30425,0.6,5668.09231
"333","Wind or Weather or Stress","11620_29_30",0.0381712,"Western Great Plains Floodplain Systems",1276,60508,1.2,2309.6629696
"334","Wind or Weather or Stress","11620_31_39_40",0.0483292,"Western Great Plains Floodplain Systems",1686,98019,2,4737.1798548
"335","Wind or Weather or Stress","11660_29",0.030947,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",1277,25,0,0.773675
"336","Wind or Weather or Stress","11792_29_30",0.0001122,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna",1279,459611,9.4,51.5683542
"337","Wind or Weather or Stress","14210_31_38_42_43_44_50_51",0.024255,"Central Tallgrass Prairie",1689,743,0,18.021465
"338","Wind or Weather or Stress","14950_31_39_40",0.0988416,"Western Great Plains Depressional Wetland Systems",1691,3376,0.1,333.6892416
