"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"24",116,50222,"Tree Cover = 16%",183,240,134,0.717647,0.941176,0.52549,11169,0.2
"25",117,58976,"Tree Cover = 17%",181,237,133,0.709804,0.929412,0.521569,13116,0.3
"26",118,69828,"Tree Cover = 18%",178,235,129,0.698039,0.921569,0.505882,15529,0.3
"27",119,79473,"Tree Cover = 19%",173,232,125,0.678431,0.909804,0.490196,17674,0.4
"28",120,90072,"Tree Cover = 20%",173,232,125,0.678431,0.909804,0.490196,20032,0.4
"29",121,101737,"Tree Cover = 21%",170,230,122,0.666667,0.901961,0.478431,22626,0.5
"30",122,113796,"Tree Cover = 22%",165,227,118,0.647059,0.890196,0.462745,25308,0.5
"31",123,124596,"Tree Cover = 23%",163,224,117,0.639216,0.878431,0.458824,27709,0.6
"32",124,133654,"Tree Cover = 24%",160,222,113,0.627451,0.870588,0.443137,29724,0.6
"33",125,394807,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,87803,1.8
"34",126,151113,"Tree Cover = 26%",154,217,108,0.603922,0.85098,0.423529,33607,0.7
"35",127,179440,"Tree Cover = 27%",150,214,105,0.588235,0.839216,0.411765,39906,0.8
"36",128,170775,"Tree Cover = 28%",146,212,102,0.572549,0.831373,0.4,37979,0.8
"37",129,177303,"Tree Cover = 29%",144,209,100,0.564706,0.819608,0.392157,39431,0.8
"38",130,184748,"Tree Cover = 30%",143,209,98,0.560784,0.819608,0.384314,41087,0.8
"39",131,191306,"Tree Cover = 31%",138,207,95,0.541176,0.811765,0.372549,42545,0.9
"40",132,198207,"Tree Cover = 32%",136,204,94,0.533333,0.8,0.368627,44080,0.9
"41",133,204286,"Tree Cover = 33%",133,201,91,0.521569,0.788235,0.356863,45432,0.9
"42",134,209072,"Tree Cover = 34%",128,199,88,0.501961,0.780392,0.345098,46496,1
"43",135,514642,"Tree Cover = 35%",127,196,86,0.498039,0.768627,0.337255,114454,2.3
"44",136,266067,"Tree Cover = 36%",124,194,83,0.486275,0.760784,0.32549,59172,1.2
"45",137,216195,"Tree Cover = 37%",119,191,80,0.466667,0.74902,0.313725,48081,1
"46",138,216606,"Tree Cover = 38%",118,189,79,0.462745,0.741176,0.309804,48172,1
"47",139,215760,"Tree Cover = 39%",115,186,76,0.45098,0.729412,0.298039,47984,1
"48",140,215685,"Tree Cover = 40%",112,186,74,0.439216,0.729412,0.290196,47967,1
"49",141,213637,"Tree Cover = 41%",110,184,73,0.431373,0.721569,0.286275,47512,1
"50",142,210011,"Tree Cover = 42%",107,181,71,0.419608,0.709804,0.278431,46705,1
"51",143,205280,"Tree Cover = 43%",103,179,68,0.403922,0.701961,0.266667,45653,0.9
"52",144,200786,"Tree Cover = 44%",101,176,67,0.396078,0.690196,0.262745,44654,0.9
"53",145,731744,"Tree Cover = 45%",99,173,64,0.388235,0.678431,0.25098,162736,3.3
"54",146,181924,"Tree Cover = 46%",94,171,62,0.368627,0.670588,0.243137,40459,0.8
"55",147,172446,"Tree Cover = 47%",93,168,61,0.364706,0.658824,0.239216,38351,0.8
"56",148,160873,"Tree Cover = 48%",90,166,58,0.352941,0.65098,0.227451,35777,0.7
"57",149,149955,"Tree Cover = 49%",86,163,55,0.337255,0.639216,0.215686,33349,0.7
"58",150,140170,"Tree Cover = 50%",86,163,55,0.337255,0.639216,0.215686,31173,0.6
"59",151,125827,"Tree Cover = 51%",84,161,53,0.329412,0.631373,0.207843,27983,0.6
"60",152,121955,"Tree Cover = 52%",79,158,51,0.309804,0.619608,0.2,27122,0.6
"61",153,101811,"Tree Cover = 53%",78,156,50,0.305882,0.611765,0.196078,22642,0.5
"62",154,116710,"Tree Cover = 54%",76,153,47,0.298039,0.6,0.184314,25956,0.5
"63",155,84799,"Tree Cover = 55%",71,150,45,0.278431,0.588235,0.176471,18859,0.4
"64",156,65927,"Tree Cover = 56%",69,148,43,0.270588,0.580392,0.168627,14662,0.3
"65",157,56715,"Tree Cover = 57%",68,145,42,0.266667,0.568627,0.164706,12613,0.3
"66",158,48690,"Tree Cover = 58%",64,143,40,0.25098,0.560784,0.156863,10828,0.2
