"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_Fuel_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"37",7923,8181,"Western Cool Temperate Developed Shrubland",7923,2912,"Dsh Developed Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,142,245,0.478431,0.556863,0.960784,1819,0
"38",7924,14213,"Western Cool Temperate Developed Herbaceous",7924,2911,"Dgr Developed Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",158,170,215,0.619608,0.666667,0.843137,3161,0.1
"39",7963,47393,"Western Cool Temperate Row Crop - Close Grown Crop",7963,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,10540,0.2
"40",7964,43692,"Western Cool Temperate Row Crop",7964,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,9717,0.2
"41",7965,424162,"Western Cool Temperate Close Grown Crop",7965,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,94331,1.9
"42",7966,195326,"Western Cool Temperate Fallow/Idle Cropland",7966,2966,"Dab Fallow/Idle Cropland","Herb","Agricultural",66,"Agricultural-Fallow/Idle Cropland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,255,119,1,1,0.466667,43439,0.9
"43",7967,924844,"Western Cool Temperate Pasture and Hayland",7967,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,205680,4.2
"44",7968,58420,"Western Cool Temperate Wheat",7968,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,12992,0.3
"45",9011,2918,"North American Arid West Emergent Marsh",9011,2225,"He North American Arid West Emergent Marsh","Herb","Riparian",765,"Freshwater Marsh","LF 56: Western Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",250,100,56,0.980392,0.392157,0.219608,649,0
"46",9014,8,"Northwestern Great Plains Floodplain Forest and Woodland",9014,2162,"Tr Western Great Plains Floodplain Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,2,0
"47",9015,105,"Northwestern Great Plains Riparian Forest ",9015,2162,"Tr Western Great Plains Floodplain Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,23,0
"48",9017,71189,"Rocky Mountain Alpine-Montane Wet Meadow",9017,2176,"He Rocky Mountain Alpine-Montane Wet Meadow","Herb","Riparian",669,"Western Herbaceous Wetland","SRM 422: Riparian","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",184,96,24,0.721569,0.376471,0.094118,15832,0.3
"49",9018,12420,"Rocky Mountain Cliff Canyon and Massive Bedrock",9018,2006,"Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,2762,0.1
"50",9019,86005,"Rocky Mountain Lower Montane-Foothill Riparian Woodland",9019,2159,"Tr Rocky Mountain Montane Riparian Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","SAF 235: Cottonwood-Willow","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",73,171,186,0.286275,0.670588,0.729412,19127,0.4
"51",9023,31338,"Western Great Plains Badlands",9023,2007,"Sps Western Great Plains Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,6969,0.1
"52",9024,1049,"Western Great Plains Cliff and Outcrop",9024,2007,"Sps Western Great Plains Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,233,0
"53",9025,350,"Western Great Plains Closed Depression Wetland",9025,2495,"He Western Great Plains Depressional Wetland Systems","Herb","Riparian",650,"Depressional Wetland","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,78,0
"54",9028,70725,"Western Great Plains Riparian Woodland",9028,2162,"Tr Western Great Plains Floodplain Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","LF 42: Great Plains Riparian","Tree-dominated","Open tree canopy","Deciduous open tree canopy",6,53,122,0.023529,0.207843,0.478431,15729,0.3
"55",9029,53,"Western Great Plains Saline Depression Wetland",9029,2495,"He Western Great Plains Depressional Wetland Systems","Herb","Riparian",650,"Depressional Wetland","SRM 601: Bluestem Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,137,64,1,0.537255,0.25098,12,0
